Category,Total U.S.b,Total Total,Total Space heating,Total Water heating,Total Air conditioning,Total Refrigerators,Total Other,Total,Space heating,Water heating,Air conditioning,Refrigerators,Other
All homes, 123.53 ,"  9,481 ","  4,026 ","  1,737 ",  866 ,  352 ,"  2,501 ",  76.8 ,  34.4 ,  14.1 ,  7.9 ,  2.9 ,  20.2 
Census region and division,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Northeast, 21.92 ,"  1,956 ","  1,030 ",  351 ,  93 ,  55 ,  427 ,  89.2 ,  47.5 ,  16.1 ,  4.8 ,  2.5 ,  19.5 
New England, 5.88 ,  528 ,  293 ,  91 ,  19 ,  14 ,  110 ,  89.9 ,  50.4 ,  15.7 ,  3.9 ,  2.4 ,  18.8 
Middle Atlantic, 16.04 ,"  1,428 ",  737 ,  260 ,  74 ,  41 ,  316 ,  89.0 ,  46.4 ,  16.2 ,  5.1 ,  2.6 ,  19.7 
Midwest, 27.04 ,"  2,619 ","  1,484 ",  387 ,  131 ,  77 ,  541 ,  96.9 ,  55.4 ,  14.3 ,  5.2 ,  2.9 ,  20.0 
East North Central, 18.55 ,"  1,823 ","  1,054 ",  264 ,  84 ,  52 ,  369 ,  98.3 ,  57.5 ,  14.3 ,  4.9 ,  2.8 ,  19.9 
West North Central, 8.50 ,  796 ,  430 ,  122 ,  47 ,  25 ,  171 ,  93.7 ,  50.9 ,  14.4 ,  5.9 ,  3.0 ,  20.2 
South, 46.84 ,"  3,116 ",  906 ,  561 ,  497 ,  141 ,"  1,011 ",  66.5 ,  20.8 ,  12.0 ,  11.3 ,  3.0 ,  21.6 
South Atlantic, 24.84 ,"  1,584 ",  459 ,  285 ,  248 ,  75 ,  517 ,  63.8 ,  20.6 ,  11.5 ,  10.6 ,  3.0 ,  20.8 
East South Central, 7.38 ,  523 ,  184 ,  91 ,  66 ,  22 ,  160 ,  70.9 ,  25.3 ,  12.3 ,  9.6 ,  3.0 ,  21.7 
West South Central, 14.62 ,"  1,009 ",  263 ,  186 ,  183 ,  44 ,  334 ,  69.0 ,  18.8 ,  12.7 ,  13.2 ,  3.0 ,  22.8 
West, 27.72 ,"  1,790 ",  605 ,  438 ,  145 ,  79 ,  522 ,  64.6 ,  24.1 ,  15.9 ,  7.0 ,  2.9 ,  18.8 
Mountain, 9.22 ,  727 ,  284 ,  140 ,  80 ,  28 ,  196 ,  78.9 ,  32.0 ,  15.3 ,  10.0 ,  3.0 ,  21.3 
Mountain North, 4.62 ,  413 ,  208 ,  80 ,  18 ,  13 ,  93 ,  89.5 ,  45.6 ,  17.5 ,  4.8 ,  2.9 ,  20.1 
Mountain South, 4.60 ,  314 ,  75 ,  60 ,  62 ,  14 ,  103 ,  68.3 ,  17.6 ,  13.0 ,  14.6 ,  3.1 ,  22.5 
Pacific, 18.51 ,"  1,063 ",  322 ,  298 ,  65 ,  52 ,  326 ,  57.4 ,  19.8 ,  16.2 ,  5.2 ,  2.8 ,  17.6 
Census urban/rural classificatione,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Urban, 100.44 ,"  7,510 ","  3,165 ","  1,425 ",  703 ,  277 ,"  1,939 ",  74.8 ,  33.4 ,  14.2 ,  7.9 ,  2.8 ,  19.3 
Urbanized area, 89.24 ,"  6,649 ","  2,757 ","  1,275 ",  635 ,  247 ,"  1,734 ",  74.5 ,  32.9 ,  14.3 ,  8.0 ,  2.8 ,  19.4 
Urban cluster, 11.20 ,  861 ,  408 ,  150 ,  68 ,  30 ,  205 ,  76.9 ,  37.4 ,  13.5 ,  7.0 ,  2.7 ,  18.3 
Rural, 23.09 ,"  1,971 ",  860 ,  311 ,  163 ,  75 ,  561 ,  85.4 ,  38.4 ,  13.5 ,  7.9 ,  3.2 ,  24.3 
Climate region,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Very cold and Cold, 42.50 ,"  4,044 ","  2,271 ",  643 ,  168 ,  116 ,  846 ,  95.2 ,  54.0 ,  15.2 ,  4.5 ,  2.7 ,  19.9 
Mixed-humid, 36.79 ,"  2,830 ","  1,181 ",  516 ,  270 ,  104 ,  760 ,  76.9 ,  32.6 ,  14.1 ,  7.8 ,  2.8 ,  20.7 
Mixed-dry and Hot-dry, 15.06 ,  887 ,  205 ,  223 ,  119 ,  45 ,  296 ,  58.9 ,  15.4 ,  14.9 ,  9.2 ,  3.0 ,  19.6 
Hot-humid, 22.31 ,"  1,306 ",  219 ,  237 ,  299 ,  69 ,  482 ,  58.6 ,  11.5 ,  10.7 ,  14.2 ,  3.1 ,  21.6 
Marine, 6.87 ,  413 ,  150 ,  117 ,  11 ,  18 ,  117 ,  60.2 ,  23.3 ,  17.0 ,  3.1 ,  2.6 ,  17.0 
Housing unit type,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Single-family detached, 77.07 ,"  7,293 ","  3,275 ","  1,191 ",  660 ,  256 ,"  1,910 ",  94.6 ,  44.0 ,  15.5 ,  9.5 ,  3.3 ,  24.8 
Single-family attached, 7.45 ,  500 ,  220 ,  103 ,  40 ,  19 ,  118 ,  67.1 ,  31.5 ,  13.9 ,  6.1 ,  2.6 ,  15.8 
Apartments in buildings with 2â€“4 units, 9.34 ,  500 ,  197 ,  127 ,  37 ,  18 ,  120 ,  53.5 ,  22.6 ,  13.6 ,  4.9 ,  1.9 ,  12.9 
Apartments in buildings with 5 or more units, 22.84 ,  769 ,  187 ,  230 ,  78 ,  42 ,  232 ,  33.7 ,  9.1 ,  10.1 ,  4.0 ,  1.9 ,  10.2 
Mobile homes, 6.83 ,  419 ,  146 ,  86 ,  50 ,  17 ,  121 ,  61.3 ,  22.4 ,  12.5 ,  8.2 ,  2.5 ,  17.6 
Ownership of housing unit,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Owned, 82.92 ,"  7,501 ","  3,348 ","  1,243 ",  675 ,  270 ,"  1,965 ",  90.5 ,  41.9 ,  15.0 ,  8.9 ,  3.3 ,  23.7 
Single-family, 73.22 ,"  6,950 ","  3,148 ","  1,125 ",  617 ,  246 ,"  1,814 ",  94.9 ,  44.4 ,  15.4 ,  9.2 ,  3.4 ,  24.8 
Apartments, 4.32 ,  218 ,  84 ,  51 ,  19 ,  10 ,  54 ,  50.6 ,  22.0 ,  11.9 ,  4.9 ,  2.3 ,  12.6 
Mobile homes, 5.38 ,  333 ,  116 ,  68 ,  39 ,  14 ,  96 ,  61.8 ,  22.5 ,  12.6 ,  8.2 ,  2.6 ,  17.9 
Rented, 40.61 ,"  1,980 ",  677 ,  494 ,  191 ,  82 ,  536 ,  48.8 ,  18.2 ,  12.2 ,  5.6 ,  2.0 ,  13.2 
Single-family, 11.30 ,  843 ,  347 ,  170 ,  84 ,  29 ,  214 ,  74.6 ,  32.9 ,  15.1 ,  8.9 ,  2.5 ,  18.9 
Apartments, 27.86 ,"  1,051 ",  300 ,  306 ,  97 ,  50 ,  298 ,  37.7 ,  11.8 ,  11.0 ,  4.2 ,  1.8 ,  10.7 
Mobile homes, 1.45 ,  86 ,  30 ,  18 ,  11 ,  3 ,  24 ,  59.5 ,  22.2 ,  12.4 ,  8.3 ,  2.1 ,  16.9 
Year of construction,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Before 1950, 20.26 ,"  1,836 ","  1,001 ",  294 ,  113 ,  52 ,  376 ,  90.6 ,  50.9 ,  14.6 ,  6.7 ,  2.6 ,  18.6 
1950 to 1959, 12.48 ,"  1,058 ",  530 ,  179 ,  85 ,  34 ,  231 ,  84.8 ,  44.0 ,  14.3 ,  7.7 ,  2.7 ,  18.5 
1960 to 1969, 12.76 ,  980 ,  442 ,  178 ,  84 ,  35 ,  241 ,  76.8 ,  36.4 ,  13.9 ,  7.5 ,  2.8 ,  18.9 
1970 to 1979, 18.34 ,"  1,306 ",  547 ,  243 ,  130 ,  50 ,  336 ,  71.2 ,  32.0 ,  13.3 ,  8.1 ,  2.7 ,  18.3 
1980 to 1989, 16.30 ,"  1,086 ",  401 ,  207 ,  120 ,  45 ,  312 ,  66.6 ,  26.4 ,  12.7 ,  8.3 ,  2.8 ,  19.2 
1990 to 1999, 17.16 ,"  1,336 ",  494 ,  257 ,  133 ,  55 ,  396 ,  77.8 ,  30.4 ,  15.1 ,  8.5 ,  3.2 ,  23.1 
2000 to 2009, 16.16 ,"  1,236 ",  414 ,  249 ,  133 ,  52 ,  388 ,  76.5 ,  27.4 ,  15.5 ,  8.9 ,  3.2 ,  24.0 
2010 to 2015, 5.53 ,  360 ,  108 ,  74 ,  39 ,  17 ,  122 ,  65.1 ,  20.8 ,  13.4 ,  7.5 ,  3.0 ,  22.2 
2016 to 2020,4.56,284,88,57,29,12,97,62.3,20.2,12.5,6.9,2.7,21.4
Total square footage,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
"Less than 1,000", 30.01 ,"  1,265 ",  398 ,  334 ,  115 ,  58 ,  359 ,  42.1 ,  14.5 ,  11.2 ,  4.6 ,  2.0 ,  12.0 
"1,000 to 1,499", 28.08 ,"  1,733 ",  671 ,  366 ,  171 ,  70 ,  456 ,  61.7 ,  25.5 ,  13.1 ,  7.0 ,  2.5 ,  16.2 
"1,500 to 1,999", 22.22 ,"  1,778 ",  765 ,  323 ,  170 ,  67 ,  453 ,  80.0 ,  36.1 ,  14.6 ,  8.6 ,  3.0 ,  20.4 
"2,000 to 2,499", 15.62 ,"  1,430 ",  650 ,  232 ,  132 ,  50 ,  366 ,  91.5 ,  43.1 ,  14.9 ,  9.3 ,  3.2 ,  23.4 
"2,500 to 2,999", 10.31 ,"  1,072 ",  501 ,  168 ,  94 ,  37 ,  273 ,  104.0 ,  49.5 ,  16.3 ,  9.8 ,  3.6 ,  26.5 
"3,000 or more", 17.29 ,"  2,203 ","  1,040 ",  315 ,  184 ,  70 ,  594 ,  127.4 ,  61.2 ,  18.2 ,  11.3 ,  4.1 ,  34.3 
Number of household members,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
1 member, 33.59 ,"  1,845 ",  883 ,  294 ,  162 ,  76 ,  430 ,  54.9 ,  27.9 ,  8.8 ,  5.6 ,  2.3 ,  12.8 
2 members, 45.31 ,"  3,554 ","  1,577 ",  589 ,  320 ,  135 ,  933 ,  78.4 ,  36.4 ,  13.0 ,  7.8 ,  3.0 ,  20.6 
3 members, 18.27 ,"  1,581 ",  632 ,  308 ,  145 ,  55 ,  441 ,  86.6 ,  36.2 ,  17.0 ,  9.0 ,  3.0 ,  24.1 
4 members, 15.56 ,"  1,443 ",  554 ,  310 ,  135 ,  50 ,  395 ,  92.8 ,  37.6 ,  20.0 ,  9.7 ,  3.2 ,  25.4 
5 members, 6.44 ,  611 ,  219 ,  134 ,  63 ,  21 ,  174 ,  94.9 ,  36.4 ,  20.9 ,  10.8 ,  3.3 ,  27.1 
6 or more members, 4.37 ,  446 ,  161 ,  102 ,  42 ,  15 ,  128 ,  102.2 ,  40.7 ,  23.6 ,  10.8 ,  3.4 ,  29.2 
2020 annual household income,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
"Less than $5,000", 4.48 ,  253 ,  96 ,  59 ,  22 ,  9 ,  67 ,  56.5 ,  23.4 ,  13.2 ,  6.5 ,  2.1 ,  14.9 
"$5,000 to $9,999", 4.01 ,  208 ,  80 ,  47 ,  19 ,  8 ,  53 ,  51.9 ,  22.2 ,  11.7 ,  6.0 ,  2.1 ,  13.3 
"$10,000 to $19,999", 10.25 ,  588 ,  251 ,  118 ,  53 ,  23 ,  142 ,  57.4 ,  26.1 ,  11.6 ,  6.2 ,  2.3 ,  13.9 
"$20,000 to $39,999", 24.07 ,"  1,568 ",  668 ,  303 ,  147 ,  60 ,  390 ,  65.1 ,  29.5 ,  12.6 ,  7.0 ,  2.5 ,  16.2 
"$40,000 to $59,999", 19.61 ,"  1,372 ",  586 ,  255 ,  131 ,  53 ,  347 ,  70.0 ,  31.7 ,  13.0 ,  7.5 ,  2.7 ,  17.7 
"$60,000 to $99,999", 27.71 ,"  2,178 ",  938 ,  395 ,  196 ,  82 ,  566 ,  78.6 ,  35.4 ,  14.3 ,  7.9 ,  3.0 ,  20.4 
"$100,000 to $149,999", 16.54 ,"  1,462 ",  622 ,  258 ,  134 ,  54 ,  394 ,  88.4 ,  39.1 ,  15.7 ,  8.7 ,  3.3 ,  23.8 
"$150,000 or more", 16.86 ,"  1,852 ",  784 ,  301 ,  164 ,  62 ,  541 ,  109.8 ,  48.4 ,  17.9 ,  10.5 ,  3.7 ,  32.1 
Payment method for energy bills,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
All paid by household, 112.70 ,"  8,982 ","  3,841 ","  1,604 ",  830 ,  331 ,"  2,376 ",  79.7 ,  35.9 ,  14.3 ,  8.3 ,  3.0 ,  21.1 
"Some paid by household, some included in rent or condo fee", 4.34 ,  183 ,  65 ,  48 ,  15 ,  8 ,  46 ,  42.2 ,  16.1 ,  11.1 ,  4.4 ,  2.0 ,  10.7 
All included in rent or condo fee, 0.72 ,  28 ,  10 ,  8 ,  3 ,  1 ,  6 ,  39.1 ,  14.7 ,  11.2 ,  4.3 ,  1.9 ,  8.8 
Some other method, 5.77 ,  288 ,  110 ,  77 ,  19 ,  11 ,  72 ,  49.9 ,  20.5 ,  13.4 ,  3.8 ,  1.9 ,  12.5 
Main heating fuel,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Natural gas, 62.71 ,"  5,996 ","  2,928 ","  1,055 ",  429 ,  188 ,"  1,397 ",  95.6 ,  46.7 ,  16.8 ,  7.6 ,  3.0 ,  22.3 
Electricity, 42.57 ,"  2,081 ",  498 ,  432 ,  327 ,  113 ,  711 ,  48.9 ,  11.7 ,  10.2 ,  8.6 ,  2.7 ,  16.7 
Fuel oil or kerosene, 4.93 ,  547 ,  319 ,  77 ,  21 ,  13 ,  117 ,  110.8 ,  64.6 ,  15.6 ,  4.9 ,  2.7 ,  23.8 
Propane, 5.21 ,  512 ,  265 ,  76 ,  28 ,  17 ,  127 ,  98.2 ,  50.8 ,  14.6 ,  6.0 ,  3.2 ,  24.4 
Wood, 2.25 ,  115 ,  16 ,  32 ,  8 ,  7 ,  53 ,  50.9 ,  9.3 ,  14.7 ,  5.1 ,  3.0 ,  23.4 
Some other fuel,Q, Q , Q , Q , Q , Q , Q , Q , Q , Q , Q , Q , Q 
Does not use heating equipment, 5.79 ,  229 , N ,  65 ,  54 ,  15 ,  95 ,  39.5 , N ,  11.6 ,  12.1 ,  2.6 ,  16.4 